Item Details	Unit	Op. Qty.	Qty. In	Qty. Out	Cl. Qty.
Lion Buman  Dates 500g (1+1) 267/-	Pcs.	0.00	24.00	24.00	0.00
Lion Choco Dates With Almond 130g	Pcs.	0.00	32.00	31.00	1.00
Lion Choco Dates With Almond 130g 89/-	Pcs.	0.00	32.00	32.00	0.00
Lion Choco Dates With Almond 150g 100/-	Pcs.	0.00	128.00	128.00	0.00
Lion Cornflakes 250g+150 Free 100/-	Pcs.	1.00	0.00	0.00	1.00
Lion Cornflakes 250g+150 Free 109/-	Pcs.	21.00	0.00	6.00	15.00
Lion Datenuts Bites 120g 150/-	Pcs.	0.00	96.00	63.00	33.00
Lion Datenuts Bites 200g 250/-	Pcs.	0.00	20.00	0.00	20.00
Lion Datenuts Bites 240g 300/-	Pcs.	0.00	20.00	17.00	3.00
Lion Datenuts Bites 280g 350/-	Pcs.	0.00	18.00	18.00	0.00
Lion Datenuts Bites 368g 400/-	Pcs.	0.00	90.00	91.00	-1.00
Lion Datenuts Bites 368g 400/- (1+1)	Pcs.	0.00	171.00	144.00	27.00
Lion Dates Juice With Mango 150ml 25/-	Pcs.	5.00	0.00	0.00	5.00
Lion Dates Juice With Orange 150ml 30/-	Pcs.	3.00	0.00	0.00	3.00
Lion Dates Nuts Bites 50/-	Pcs.	36.00	0.00	0.00	36.00
Lion Dates Powder 500 Jar 305/-	Pcs.	0.00	20.00	19.00	1.00
Lion Dates Powder 500 Jar 324/-	Pcs.	0.00	20.00	20.00	0.00
Lion Dates Syrup  500g  220/-	Pcs.	50.00	144.00	193.00	1.00
Lion Dates Syrup 1kg 390/-	Pcs.	5.00	0.00	3.00	2.00
Lion Dates Syrup 250g 107/-	Pcs.	0.00	150.00	132.00	18.00
Lion Dates Syrup 250g 115/-	Pcs.	18.00	144.00	162.00	0.00
Lion Dates Syrup 500g 212/-	Pcs.	1.00	0.00	0.00	1.00
Lion Datesnut Bitus (1+1) 375/-	Pcs.	0.00	27.00	27.00	0.00
Lion Delicacy Dates Branch 500g 320/-	Pcs.	0.00	48.00	48.00	0.00
Lion Delicacy Dates Branch 500g 349/-	Pcs.	0.00	48.00	48.00	0.00
Lion Delicacy Dates Branch 500g 354/-	Pcs.	0.00	24.00	0.00	24.00
Lion Delicasy Dates250g 154/-	Pcs.	13.00	0.00	13.00	0.00
Lion Deseded Dates 500g R 154/-	Pcs.	104.00	360.00	463.00	1.00
Lion Deseeded Dates 200g 58/-	Pcs.	150.00	1320.00	1470.00	0.00
Lion Deseeded Dates 200g R 54/-	Pcs.	0.00	720.00	720.00	0.00
Lion Deseeded Dates 200g R 57/-	Pcs.	20.00	0.00	0.00	20.00
Lion Deseeded Dates 200g R 62/-	Pcs.	0.00	600.00	600.00	0.00
Lion Deseeded Dates 200g R 65/-	Pcs.	0.00	240.00	80.00	160.00
Lion Deseeded Dates 250g Cup 105/-	Pcs.	0.00	72.00	0.00	72.00
Lion Deseeded Dates 250g Cup 75/-	Pcs.	5.00	0.00	0.00	5.00
Lion Deseeded Dates 250g Cup 76/-	Pcs.	0.00	648.00	648.00	0.00
Lion Deseeded Dates 250g Cup 86/-	Pcs.	85.00	1152.00	1237.00	0.00
Lion Deseeded Dates 250g Cup 89/-	Pcs.	0.00	144.00	118.00	26.00
Lion Deseeded Dates 500g Cup 156/-	Pcs.	-2.00	0.00	0.00	-2.00
Lion Deseeded Dates 500g Cup 160/-	Pcs.	0.00	900.00	900.00	0.00
Lion Deseeded Dates 500g R 145/-	Pcs.	0.00	600.00	601.00	-1.00
Lion Deseeded Dates 500g R 155/-	Pcs.	0.00	360.00	360.00	0.00
Lion Deseeded Dates 500g R 158/-	Pcs.	0.00	320.00	311.00	9.00
Lion Deseeded Dates 500g R 164-	Pcs.	0.00	40.00	34.00	6.00
Lion Deseeded Dates 500g R 172-	Pcs.	0.00	80.00	0.00	80.00
Lion Deseeded Dates Cup 162/-	Pcs.	96.00	540.00	633.00	3.00
Lion Desert King Dates 250g Cup 152/-	Pcs.	96.00	720.00	816.00	0.00
Lion Desert King Dates 500g Cup 299/-	Pcs.	34.00	360.00	392.00	2.00
Lion Desert Queen  Dates 250 Cup 276/-	Pcs.	0.00	48.00	24.00	24.00
Lion Desertking  Dates 250g R 133/-	Pcs.	0.00	360.00	360.00	0.00
Lion Desertking  Dates 250g R 135/-	Pcs.	0.00	216.00	150.00	66.00
Lion Desertking Dates 250g c 142/-	Pcs.	0.00	864.00	806.00	58.00
Lion Desertking Dates 250g R 124/-	Pcs.	3.00	0.00	0.00	3.00
Lion Desertking Dates 250g R 142/-	Pcs.	46.00	504.00	550.00	0.00
Lion Desertking Dates 500 Cup 280/-	Pcs.	0.00	405.00	368.00	37.00
Lion Desertking Dates 500g Cup 279/-	Pcs.	10.00	0.00	10.00	0.00
Lion Desertking Dates 500g R 247/-	Pcs.	5.00	0.00	0.00	5.00
Lion Desertking Dates 500g R 261/-	Pcs.	0.00	240.00	240.00	0.00
Lion Desertking Dates 500g R 263/-	Pcs.	2.00	0.00	0.00	2.00
Lion Desertking Dates 500g R 265/-	Pcs.	0.00	160.00	120.00	40.00
Lion Desertking Dates 500g R 279/-	Pcs.	38.00	280.00	317.00	1.00
